,state,x,y
0,Neemuch,-201.0,44.0
1,Mandsour,-194.0,16.0
2,Ratlam,-213.0,-36.0
3,Jhabua,-233.0,-68.0
4,Alirajpur,-253.0,-109.0
5,Badwani,-221.0,-138.0
6,Dhar,-205.0,-93.0
7,Ujjain,-175.0,-39.0
8,Agar Malwa,-145.0,-7.0
9,Indore,-157.0,-83.0
10,Khargoan,-165.0,-128.0
11,Burhanpur,-129.0,-169.0
12,Khandwa,-122.0,-127.0
13,Dewas,-124.0,-80.0
14,Shajapur,-118.0,-38.0
15,Rajgarh,-110.0,-4.0
16,Guna,-77.0,41.0
17,Sheopur,-97.0,111.0
18,Morena,-42.0,162.0
19,Bhind,16.0,163.0
20,Gwalior,-22.0,137.0
21,Datia,8.0,123.0
22,Shivpuri,-41.0,92.0
23,Ashoknagar,-40.0,45.0
24,Vidhisha,-45.0,-1.0
25,Bhopal,-67.0,-45.0
26,Sehore,-91.0,-65.0
27,Harda,-83.0,-116.0
28,Betul,-40.0,-135.0
29,Hosangabad,-37.0,-89.0
30,Raisen,-32.0,-50.0
31,Chindwada,22.0,-124.0
32,Narsinghpur,34.0,-67.0
33,Sagar,16.0,-6.0
34,Tikamgarh,31.0,57.0
35,Niwari,14.0,84.0
36,Chhatarpur,66.0,58.0
37,Damoh,64.0,-10.0
38,Seoni,72.0,-112.0
39,Jabalpur,87.0,-50.0
40,Katni,116.0,-18.0
41,Panna,101.0,27.0
42,Satna,142.0,33.0
43,Umariya,149.0,-30.0
44,Dindori,154.0,-70.0
45,Mandla,126.0,-92.0
46,Balaghat,109.0,-135.0
47,Anuppur,191.0,-69.0
48,Shahdol,179.0,-18.0
49,Rewa,183.0,56.0
50,Sidhi,195.0,16.0
51,Singrauli,237.0,13.0
